Red Secondary,Blue Primary
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
100.0,484.0
99.0,484.0
99.0,484.0
99.0,484.0
99.0,484.0
99.0,484.0
99.0,484.0
99.0,484.0
99.0,484.0
98.0,483.0
98.0,483.0
98.0,483.0
98.0,483.0
98.0,482.0
98.0,482.0
98.0,482.0
98.0,482.0
98.0,481.0
98.0,481.0
98.0,481.0
98.0,480.0
98.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
97.0,480.0
96.0,480.0
96.0,480.0
96.0,480.0
96.0,479.0
96.0,479.0
96.0,479.0
96.0,478.0
96.0,478.0
94.0,478.0
94.0,477.0
94.0,477.0
94.0,476.0
94.0,476.0
94.0,476.0
94.0,476.0
93.0,475.0
93.0,475.0
93.0,475.0
93.0,475.0
93.0,475.0
93.0,475.0
93.0,475.0
93.0,475.0
91.0,475.0
91.0,475.0
91.0,475.0
91.0,475.0
91.0,475.0
91.0,474.0
91.0,474.0
90.0,474.0
90.0,474.0
89.0,474.0
89.0,474.0
89.0,474.0
89.0,474.0
89.0,473.0
89.0,473.0
89.0,473.0
89.0,473.0
89.0,473.0
89.0,473.0
89.0,472.0
89.0,470.0
89.0,469.0
89.0,467.0
89.0,467.0
