Blue Sm2,Blue Sc2,Blue Sc1,Red Pc2,Red Pm2,Blue Sm1,Red Pi2,Red Pc1,Red Pi1,Red Pm1
100.0,150.0,150.0,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.75556593656788,149.75459320583548,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.5065938368777,149.535888464662,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.33100620929343,149.27683702091514,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.29566070123698,149.05975035564643,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.0368782900131,149.02564984099385,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.07804564866262,148.71859079257854,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.0818699520142,148.8600881314371,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.3874504818447,149.46585150802028,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.33746752332223,149.67841944518668,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.19760269251358,149.4150212105511,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.4481944943074,149.20903078390916,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.44418421396415,149.40243891054885,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.40357590695055,149.16396019252514,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.38091431594995,149.08522615449513,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.32893876490414,148.92307811331784,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.42015295127547,149.50015835269883,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.38045049312578,149.40463421137872,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.31606499612673,149.1825282731333,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.37431204857188,149.11638070945727,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.5539951745283,149.27713864321547,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.2235739319798,149.05390717181518,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.47582679102808,149.33134466041412,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.39138988863243,149.26227117144015,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.17111770247598,149.40579923776107,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.61922587087145,149.10409761186554,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.268005649284,149.32191510844635,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.0642696199505,149.1702929469772,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.35909464222811,148.95508366104872,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.3347516196795,149.36900744285524,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.26631265875082,149.31339086039316,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.21838484037954,149.3038806085588,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.18840087522608,149.258527884834,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.46107470616647,149.28977857116342,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.33399784040753,149.42690058294446,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,149.01191665146783,149.04357488268698,150.0,100.0,100.0,100.0,150.0,100.0,100.0
100.0,148.88599853243394,149.28332226883455,150.0,100.0,100.0,100.0,150.0,100.0,100.0
