Red Pi1,Red Pm2,Red Pc2,Blue Sc2,Blue Sm1,Red Pc1,Red Pi2,Blue Sm2,Red Pm1,Blue Sc1
100.0,100.0,150.0,150.0,100.0,150.0,100.0,100.0,100.0,150.0
100.0,100.0,150.0,149.75656030133416,100.0,150.0,100.0,100.0,100.0,149.733517687342
100.0,100.0,150.0,149.48980859947378,100.0,150.0,100.0,100.0,100.0,149.49783693148476
100.0,100.0,150.0,149.27897108449417,100.0,150.0,100.0,100.0,100.0,149.23150544891217
100.0,100.0,150.0,149.25235092980364,100.0,150.0,100.0,100.0,100.0,149.05120456838782
100.0,100.0,150.0,149.01895382557072,100.0,150.0,100.0,100.0,100.0,149.02737083269926
100.0,100.0,150.0,149.11106767211237,100.0,150.0,100.0,100.0,100.0,148.7353698370591
100.0,100.0,150.0,149.09220619165782,100.0,150.0,100.0,100.0,100.0,148.55707530125466
100.0,100.0,150.0,149.42915229551642,100.0,150.0,100.0,100.0,100.0,149.41418049155268
100.0,100.0,150.0,149.35636729931971,100.0,150.0,100.0,100.0,100.0,149.6789649257333
100.0,100.0,150.0,149.1791932334066,100.0,150.0,100.0,100.0,100.0,149.38739451387707
100.0,100.0,150.0,149.43948028010556,100.0,150.0,100.0,100.0,100.0,149.10966675202226
100.0,100.0,150.0,149.40753071097046,100.0,150.0,100.0,100.0,100.0,149.08182497003676
100.0,100.0,150.0,149.37162523088512,100.0,150.0,100.0,100.0,100.0,149.09003604765465
100.0,100.0,150.0,149.29678368709713,100.0,150.0,100.0,100.0,100.0,149.0233410322335
100.0,100.0,150.0,149.52445131930426,100.0,150.0,100.0,100.0,100.0,149.1605239342552
100.0,100.0,150.0,149.31340097116492,100.0,150.0,100.0,100.0,100.0,149.59348250585649
100.0,100.0,150.0,149.32374283024984,100.0,150.0,100.0,100.0,100.0,149.3252450747301
100.0,100.0,150.0,149.29867345372608,100.0,150.0,100.0,100.0,100.0,149.21284365588664
100.0,100.0,150.0,149.49228161844988,100.0,150.0,100.0,100.0,100.0,148.85562095024687
100.0,100.0,150.0,149.2956825686184,100.0,150.0,100.0,100.0,100.0,149.33862422951117
100.0,100.0,150.0,149.4519871520904,100.0,150.0,100.0,100.0,100.0,149.32191385754908
100.0,100.0,150.0,149.1722551644282,100.0,150.0,100.0,100.0,100.0,149.2807345663086
100.0,100.0,150.0,149.32589381237048,100.0,150.0,100.0,100.0,100.0,149.20803848421266
100.0,100.0,150.0,149.36232564609153,100.0,150.0,100.0,100.0,100.0,149.3222198708071
100.0,100.0,150.0,149.51861840002633,100.0,150.0,100.0,100.0,100.0,149.04442790143662
100.0,100.0,150.0,149.14995248784308,100.0,150.0,100.0,100.0,100.0,149.2474820034459
